14:17:58.878 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - Starting PeoplemanagementApplication using Java 17.0.1 with PID 69480 (C:\Users\dougl\Documents\codes\peoplemanagement\target\classes started by dougl in C:\Users\dougl\Documents\codes\peoplemanagement)
14:17:58.878 [restartedMain] DEBUG c.d.p.PeoplemanagementApplication - Running with Spring Boot v3.0.1, Spring v6.0.3
14:17:58.878 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - No active profile set, falling back to 1 default profile: "default"
14:17:59.094 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14:17:59.104 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 1 JPA repository interfaces.
14:17:59.185 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
14:17:59.207 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 327 ms
14:17:59.229 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:file:~/people-management'
14:17:59.302 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
14:17:59.427 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
14:18:00.002 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
14:18:00.016 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
14:18:00.024 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - Started PeoplemanagementApplication in 1.179 seconds (process running for 313.274)
14:18:00.027 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
14:18:50.832 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:18:50.833 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
14:18:50.869 [http-nio-8080-exec-2] INFO  c.d.p.i.logger.LoggerAdapter - Adicionado endereço Endereco(id=null, logradouro=Rua sem número, cep=com.dougdeveloper.peoplemanagement.dominio.pessoa.Cep@7166433, numero=325, cidade=Campinas, principal=true) à pessoa de nome Marta Marciel e id 70
14:19:46.201 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
14:19:46.219 [Thread-12] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
14:19:46.326 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - Starting PeoplemanagementApplication using Java 17.0.1 with PID 69480 (C:\Users\dougl\Documents\codes\peoplemanagement\target\classes started by dougl in C:\Users\dougl\Documents\codes\peoplemanagement)
14:19:46.326 [restartedMain] DEBUG c.d.p.PeoplemanagementApplication - Running with Spring Boot v3.0.1, Spring v6.0.3
14:19:46.326 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - No active profile set, falling back to 1 default profile: "default"
14:19:46.535 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14:19:46.547 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 1 JPA repository interfaces.
14:19:46.632 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
14:19:46.872 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 544 ms
14:19:46.892 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:file:~/people-management'
